## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates  --INPUT /var/lib/cwl/stg2bc36d07-d287-4ffb-972e-0cbc360fbce8/_stdout.bam --OUTPUT generated.markduped.bam --METRICS_FILE generated.metrics.txt --ASSUME_SORT_ORDER queryname --TMP_DIR tmp --CREATE_INDEX true  --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Jul 16 04:25:52 UTC 2021

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
NA12878	422	9433	73	436	71	7	1	0.004407	7410407

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.000106	9419	0	9420
2.0	1.99894	7	1	6
3.0	2.996503	0	0	0
4.0	3.992797	0	0	0
5.0	4.987823	0	0	0
6.0	5.981584	0	0	0
7.0	6.974081	0	0	0
8.0	7.965315	0	0	0
9.0	8.955288	0	0	0
10.0	9.944001	0	0	0
11.0	10.931457	0	0	0
12.0	11.917657	0	0	0
13.0	12.902602	0	0	0
14.0	13.886294	0	0	0
15.0	14.868735	0	0	0
16.0	15.849926	0	0	0
17.0	16.829869	0	0	0
18.0	17.808565	0	0	0
19.0	18.786016	0	0	0
20.0	19.762224	0	0	0
21.0	20.73719	0	0	0
22.0	21.710915	0	0	0
23.0	22.683402	0	0	0
24.0	23.654652	0	0	0
25.0	24.624666	0	0	0
26.0	25.593446	0	0	0
27.0	26.560994	0	0	0
28.0	27.527311	0	0	0
29.0	28.492399	0	0	0
30.0	29.456259	0	0	0
31.0	30.418892	0	0	0
32.0	31.380302	0	0	0
33.0	32.340488	0	0	0
34.0	33.299452	0	0	0
35.0	34.257197	0	0	0
36.0	35.213723	0	0	0
37.0	36.169033	0	0	0
38.0	37.123127	0	0	0
39.0	38.076008	0	0	0
40.0	39.027676	0	0	0
41.0	39.978134	0	0	0
42.0	40.927382	0	0	0
43.0	41.875423	0	0	0
44.0	42.822258	0	0	0
45.0	43.767889	0	0	0
46.0	44.712316	0	0	0
47.0	45.655542	0	0	0
48.0	46.597569	0	0	0
49.0	47.538396	0	0	0
50.0	48.478027	0	0	0
51.0	49.416463	0	0	0
52.0	50.353705	0	0	0
53.0	51.289754	0	0	0
54.0	52.224613	0	0	0
55.0	53.158283	0	0	0
56.0	54.090764	0	0	0
57.0	55.02206	0	0	0
58.0	55.952171	0	0	0
59.0	56.881098	0	0	0
60.0	57.808844	0	0	0
61.0	58.735409	0	0	0
62.0	59.660796	0	0	0
63.0	60.585006	0	0	0
64.0	61.50804	0	0	0
65.0	62.4299	0	0	0
66.0	63.350587	0	0	0
67.0	64.270103	0	0	0
68.0	65.188449	0	0	0
69.0	66.105626	0	0	0
70.0	67.021637	0	0	0
71.0	67.936483	0	0	0
72.0	68.850165	0	0	0
73.0	69.762685	0	0	0
74.0	70.674044	0	0	0
75.0	71.584243	0	0	0
76.0	72.493284	0	0	0
77.0	73.40117	0	0	0
78.0	74.3079	0	0	0
79.0	75.213476	0	0	0
80.0	76.117901	0	0	0
81.0	77.021175	0	0	0
82.0	77.9233	0	0	0
83.0	78.824278	0	0	0
84.0	79.724109	0	0	0
85.0	80.622795	0	0	0
86.0	81.520339	0	0	0
87.0	82.41674	0	0	0
88.0	83.312001	0	0	0
89.0	84.206124	0	0	0
90.0	85.099108	0	0	0
91.0	85.990957	0	0	0
92.0	86.881672	0	0	0
93.0	87.771253	0	0	0
94.0	88.659702	0	0	0
95.0	89.547022	0	0	0
96.0	90.433212	0	0	0
97.0	91.318275	0	0	0
98.0	92.202213	0	0	0
99.0	93.085025	0	0	0
100.0	93.966715	0	0	0

